  AUTODYN log file for worker process #           2
Element    13555 ERODED by material failure at cycle     132
Element    13556 ERODED by material failure at cycle     137
Element    13553 ERODED by material failure at cycle     146
Element    13554 ERODED by material failure at cycle     149
Element    13558 ERODED by material failure at cycle     150
Element    13511 ERODED by material failure at cycle     151
Element    13508 ERODED by material failure at cycle     153
Element    13506 ERODED by material failure at cycle     153
Element    13557 ERODED by material failure at cycle     153
Element    13509 ERODED by material failure at cycle     155
Element    13551 ERODED by material failure at cycle     159
Element    13486 ERODED by material failure at cycle     165
Element    13481 ERODED by material failure at cycle     165
Element    13552 ERODED by material failure at cycle     168
Element    13513 ERODED by material failure at cycle     176
Element    13436 ERODED by material failure at cycle     177
Element    13510 ERODED by material failure at cycle     179
Element    13443 ERODED by material failure at cycle     179
Element    13479 ERODED by material failure at cycle     180
Element    13484 ERODED by material failure at cycle     181
Element    13438 ERODED by material failure at cycle     183
Element    13445 ERODED by material failure at cycle     184
Element    13416 ERODED by material failure at cycle     207
Element    13407 ERODED by material failure at cycle     208
Element    13559 ERODED by material failure at cycle     209
Element    13560 ERODED by material failure at cycle     210
Element    13504 ERODED by material failure at cycle     216
Element    13507 ERODED by material failure at cycle     217
Element    13561 ERODED by material failure at cycle     230
Element    13562 ERODED by material failure at cycle     231
Element    13515 ERODED by material failure at cycle     237
Element    13512 ERODED by material failure at cycle     246
Element    13563 ERODED by material failure at cycle     252
Element    13490 ERODED by material failure at cycle     254
Element    13565 ERODED by material failure at cycle     254
Element    13377 ERODED by material failure at cycle     261
Element    13366 ERODED by material failure at cycle     262
Element    13566 ERODED by material failure at cycle     265
Element    13564 ERODED by material failure at cycle     266
Element    13517 ERODED by material failure at cycle     307
Element    13549 ERODED by material failure at cycle     309
Element    13488 ERODED by material failure at cycle     317
Element    13514 ERODED by material failure at cycle     327
Element    13483 ERODED by material failure at cycle     338
Element    13505 ERODED by material failure at cycle     365
Element    13519 ERODED by material failure at cycle     370
Element    13516 ERODED by material failure at cycle     373
Element    13502 ERODED by material failure at cycle     383
Element    13368 ERODED by material failure at cycle     389
Element    13379 ERODED by material failure at cycle     404
Element    13521 ERODED by material failure at cycle     421
Element    13485 ERODED by material failure at cycle     426
Element    13518 ERODED by material failure at cycle     433
Element    13503 ERODED by material failure at cycle     443
Element    13523 ERODED by material failure at cycle     451
Element    13434 ERODED by material failure at cycle     453
Element    13525 ERODED by material failure at cycle     473
Element    13370 ERODED by material failure at cycle     473
Element    13520 ERODED by material failure at cycle     486
Element    13527 ERODED by material failure at cycle     491
Element    13441 ERODED by material failure at cycle     491
Element    13409 ERODED by material failure at cycle     507
Element    13530 ERODED by material failure at cycle     520
Element    13477 ERODED by material failure at cycle     538
Element    13372 ERODED by material failure at cycle     584
Element    13482 ERODED by material failure at cycle     659
Element    13535 ERODED by material failure at cycle     676
Element    13381 ERODED by material failure at cycle     686
Element    13522 ERODED by material failure at cycle     862
